B0,wB,aR,wR,l,B,R,rho,nec,Gkk,flare
1.0,0.75,1.0,2.4,-11.55,1.0,11.593209219193795,-4.886905842301512e-05,-5.1071709810205925e-05,-0.0012835720667681016,0.0006417860333840508
1.0,0.75,1.0,2.4,-11.4,1.0,11.443775600735973,-5.0778673070673524e-05,-5.309864717118005e-05,-0.0013345145589482854,0.0006672572794741427
1.0,0.75,1.0,2.4,-11.25,1.0,11.294356998076518,-5.2788857184706784e-05,-5.523405744851607e-05,-0.0013881832728657175,0.0006940916364328586
1.0,0.75,1.0,2.4,-11.1,1.0,11.144954015158609,-5.4906307193646415e-05,-5.748528356760338e-05,-0.0014447627563640706,0.0007223813781820354
1.0,0.75,1.0,2.4,-10.95,1.0,10.995567288685018,-5.7138253732872516e-05,-5.986026509761805e-05,-0.001504452552580915,0.0007522262762904575
1.0,0.75,1.0,2.4,-10.8,1.0,10.846197490365,-5.949252161706148e-05,-6.236760519923027e-05,-0.0015674688825271232,0.0007837344412635616
1.0,0.75,1.0,2.4,-10.65,1.0,10.696845329348275,-6.197758666159171e-05,-6.50166353071916e-05,-0.0016340462707375991,0.0008170231353687996
1.0,0.75,1.0,2.4,-10.5,1.0,10.547511554864494,-6.460263194920425e-05,-6.781748027374912e-05,-0.0017044391825038476,0.0008522195912519237
1.0,0.75,1.0,2.4,-10.35,1.0,10.398196959088628,-6.73776278032535e-05,-7.078114837975648e-05,-0.0017789242860999364,0.0008894621430499683
1.0,0.75,1.0,2.4,-10.2,1.0,10.248902380255165,-7.031340433145447e-05,-7.391961524760156e-05,-0.001857802561744393,0.0009289012808721964
1.0,0.75,1.0,2.4,-10.05,1.0,10.099628706046575,-7.342174301529584e-05,-7.724592833246398e-05,-0.00194140192775194,0.00097070096387597
1.0,0.75,1.0,2.4,-9.9,1.0,9.950376877284599,-7.671546879934865e-05,-8.077431367586623e-05,-0.0020300799235428713,0.0010150399617714356
1.0,0.75,1.0,2.4,-9.75,1.0,9.80114789195633,-8.020856932155334e-05,-8.452031183551268e-05,-0.0021242271259325207,0.0010621135629662604
1.0,0.75,1.0,2.4,-9.6,1.0,9.651942809610922,-8.391631201767812e-05,-8.850091404130166e-05,-0.0022242705711050803,0.0011121352855525402
1.0,0.75,1.0,2.4,-9.45,1.0,9.50276275616728,-8.7855382021293e-05,-9.273472187330616e-05,-0.0023306777677589707,0.0011653388838794854
